Total Population,Total Households,Median Household Income (Current Year $),Total Households For Period Of Construction,Total Households For Period Of Construction Built Before 1961,Total Households For Period Of Construction Built Between 1961 And 1980,Total Households For Period Of Construction Built Between 1981 And 190,Total Households For Period Of Construction Built Between 1991 And 2000,Total Households For Period Of Construction Built Between 2001 And 2005,Total Households For Period Of Construction Built Between 2006 And 2010,Total Households For Period Of Construction Built Between 2011 And 2015,Total Households For Period Of Construction Built Between 2016 And 2021,Total Households For Structure Type Houses,"Total Households For Structure Type Apartment, Building Low And High Rise",Total Households For Structure Type Other Dwelling Types,Total Households for Tenure,Dwellings by Tenure Owner,Dwellings by Tenure Renter
4289,1585,82000,1585,30,385,865,185,70,25,10,10,1315,300,0,1585,955,625
3624,1280,125000,1280,820,75,90,120,20,45,40,75,1075,205,0,1280,1040,240
2081,875,67000,875,380,275,40,35,15,15,50,70,660,190,25,875,560,315
4681,1520,95000,1520,10,105,225,555,345,95,30,145,1185,325,10,1520,1150,370
4108,1655,80000,1655,780,545,30,180,75,35,0,10,1500,140,15,1655,1445,215
5243,1900,164000,1900,440,175,30,60,150,325,415,310,1560,340,0,1900,1530,360
7461,2200,102000,2200,10,20,15,155,950,410,380,260,1950,260,0,2200,1700,500
4436,1955,81000,1955,1365,320,85,50,10,20,50,50,840,1125,0,1955,945,1010
255,85,,85,10,15,20,25,10,0,10,10,95,0,0,85,45,0
6607,2340,80000,2340,35,860,1035,45,55,40,50,225,1925,420,0,2340,1965,385
3115,1255,98000,1255,0,310,810,85,30,0,0,0,970,285,0,1255,975,280
2114,875,71500,875,115,350,145,95,30,45,55,40,780,30,65,875,835,40
8319,2590,94000,2590,50,180,775,400,330,380,290,185,2095,495,0,2590,2325,270
933,370,128000,370,115,75,40,110,10,10,0,0,350,5,15,370,360,10
3391,1300,90000,1300,0,0,0,0,0,0,70,1220,915,410,0,1300,1145,155
3624,1020,100000,1020,25,125,580,205,30,35,15,0,800,250,0,1020,775,250
3161,1145,133000,1145,15,550,305,150,70,30,15,10,850,295,0,1145,730,415
5410,2685,85000,2685,15,105,1080,335,25,55,600,465,280,2435,0,2685,2045,640
3938,1480,117000,1480,10,60,700,690,20,0,0,0,1465,5,10,1480,1410,75
2449,995,103000,995,10,570,235,140,15,10,0,10,985,30,0,995,865,130
5069,2115,101000,2115,150,135,85,405,590,105,310,335,1350,745,20,2115,1465,650
4493,1825,94000,1825,1430,195,70,45,45,20,10,0,1040,785,0,1825,1180,650
5094,1875,96000,1875,90,490,305,195,300,260,135,105,1705,175,0,1875,1665,210
4045,1630,90000,1630,445,420,365,200,35,45,30,90,1215,410,5,1630,1305,325
7158,2870,65500,2870,120,850,1060,295,65,60,250,165,5,2860,5,2870,620,2250
5009,2660,48000,2660,220,1295,345,270,165,220,120,25,655,2010,0,2660,720,1935
21317,6405,111000,6405,45,25,15,50,25,120,1500,4620,5995,530,0,6405,4555,1850
5549,2435,61600,2435,805,1025,160,200,45,50,30,120,1290,1135,10,2435,880,1550
4869,2510,67000,2510,440,375,290,405,375,195,165,265,750,1740,20,2510,1110,1400
4365,1495,68500,1495,720,535,135,65,20,0,10,0,1030,530,0,1495,970,525
9298,4120,76500,4120,75,260,310,825,655,665,570,765,2325,1680,115,4120,2520,1600
10379,4580,67000,4580,145,250,335,635,575,920,735,990,1265,3330,0,4580,1480,3105
6441,1910,119000,1910,0,110,330,400,795,80,140,50,1890,25,0,1910,1760,150
4538,1650,86000,1650,565,240,195,280,95,85,90,100,1610,30,10,1650,1520,125
2618,1230,62800,1230,10,740,280,110,30,30,25,0,730,505,0,1230,600,630
3900,1400,78000,1400,180,220,310,245,115,240,55,25,945,435,20,1400,1115,290
3497,920,93000,920,0,10,0,0,190,360,260,75,660,260,0,920,640,275
4920,1870,71000,1870,415,455,250,215,135,140,125,145,1600,240,30,1870,1485,390
4009,1580,59600,1580,520,530,195,95,100,125,0,10,345,1235,0,1580,755,830
3011,1015,93000,1015,355,270,85,125,95,40,35,20,1005,5,5,1015,830,185
3591,1530,72500,1530,55,840,395,205,10,10,0,0,40,1445,45,1530,1205,325
7238,3705,55600,3705,1065,1050,255,165,195,210,470,290,1035,2665,5,3705,1795,1905
4495,1575,82000,1575,90,225,220,285,85,155,290,225,885,690,0,1575,1260,315
3479,1775,51200,1775,1065,335,120,115,40,45,15,40,550,1285,0,1775,655,1120
5538,1775,59600,1775,405,965,190,140,45,15,15,0,1095,685,0,1775,620,1155
4752,2255,54000,2255,890,920,175,45,45,20,110,60,95,2160,0,2255,855,1400
7031,2740,79000,2740,210,430,685,270,265,360,290,240,2125,615,0,2740,2140,600
5879,2865,56800,2865,595,1085,230,565,90,125,135,40,495,2375,0,2865,1075,1790
5817,1830,115000,1830,0,15,210,615,400,445,145,0,1775,60,0,1830,1530,305
11902,4265,81000,4265,35,70,305,255,130,345,770,2350,2575,1660,30,4265,2855,1405
8454,3555,86000,3555,580,715,565,715,190,300,145,360,2310,1250,0,3555,2670,880
6232,2425,95000,2425,35,240,230,895,565,60,95,305,1785,625,15,2425,1910,515
6589,2425,104000,2425,415,565,545,355,225,190,55,70,2230,80,115,2425,2175,255
4675,1910,83000,1910,0,45,90,835,415,325,115,85,1140,750,20,1910,1620,295
5058,2775,48800,2775,865,880,475,180,55,40,100,175,180,2585,10,2775,730,2045
3000,1050,75000,1050,225,190,340,265,10,10,0,0,375,675,0,1050,755,295
3130,1580,43200,1580,925,345,135,55,10,35,45,30,515,1155,0,1580,395,1180
8217,2330,101000,2330,20,80,30,85,155,365,840,755,1475,775,80,2330,1780,550
4490,1050,110000,1050,0,0,0,15,35,95,815,80,1025,20,5,1050,890,155
6666,3090,51600,3090,335,1200,590,435,240,150,80,55,1395,1690,5,3090,1305,1790
5661,1495,93000,1495,25,210,585,440,40,40,60,90,895,595,5,1495,1050,445
2849,1145,100000,1145,910,180,10,20,10,0,0,0,1105,40,0,1145,995,150
5306,1555,113000,1555,10,10,60,845,475,55,80,25,1485,90,0,1555,1370,190
5090,2115,70500,2115,225,710,295,250,165,185,150,135,1875,30,210,2115,1785,330
2683,1075,67000,1075,395,525,25,85,45,0,0,0,315,695,65,1075,460,620
4351,970,116000,970,0,0,0,15,105,340,465,40,945,15,10,970,860,105
8059,2670,128000,2670,0,10,15,275,1110,320,360,570,2440,235,0,2670,2325,345
3497,1315,91000,1315,195,250,295,240,50,15,120,150,1230,85,0,1315,1080,235
129,50,,50,0,10,10,10,10,0,10,10,40,0,10,50,0,0
3796,1300,83000,1300,95,690,200,155,45,30,55,30,1050,260,0,1300,895,405
3311,1100,121000,1100,0,10,30,100,180,535,210,30,805,300,0,1100,825,275
2659,1175,61600,1175,635,250,75,120,10,75,10,0,945,270,0,1175,880,290
3290,1110,107000,1110,155,265,70,95,20,125,220,160,1095,5,10,1110,1015,95
6246,1995,111000,1995,10,15,45,355,675,625,265,20,1985,5,5,1995,1850,150
3587,980,109000,980,20,30,75,140,365,260,85,10,955,25,0,980,940,40
7320,2640,85000,2640,230,1090,115,175,190,360,340,140,2000,660,0,2640,1895,745
3310,1520,46000,1520,750,315,160,75,30,35,65,90,470,1075,0,1520,475,1045
7020,2475,114000,2475,15,55,940,1190,185,50,35,0,2145,320,10,2475,2315,155
8536,3235,78500,3235,520,945,335,355,95,255,285,445,2395,835,5,3235,2230,1005
5324,2125,76500,2125,550,795,260,180,70,80,35,160,2060,60,5,2125,1900,230
5140,2100,102000,2100,1730,280,55,0,10,10,0,10,1355,745,0,2100,1525,575
5002,1840,97000,1840,750,535,140,85,10,10,105,205,1270,530,40,1840,1425,415
4830,1470,95000,1470,55,945,305,100,20,0,10,20,1135,310,25,1470,1230,235
5912,2230,84000,2230,385,555,165,170,150,105,155,550,2260,25,0,2230,2020,205
4263,1560,80000,1560,370,970,80,85,25,25,10,10,725,830,5,1560,420,1140
15,,,,,,,,,,,,0,0,0,,,
5779,1795,89000,1795,0,0,10,235,830,295,340,90,1620,175,0,1795,1495,300
4686,1875,77000,1875,60,735,560,265,95,110,40,15,1660,215,0,1875,1625,255
4616,1765,96000,1765,500,450,370,210,90,50,50,50,1755,25,0,1765,1625,140
6533,2555,79500,2555,150,415,610,1150,95,65,45,20,1960,595,0,2555,1890,665
2256,1315,53200,1315,355,310,190,145,15,20,145,130,35,1300,0,1315,275,1040
4980,1190,98000,1190,0,0,45,230,280,390,200,40,965,215,10,1190,970,215
3099,1130,124000,1130,215,480,130,145,0,30,15,105,855,300,0,1130,980,145
6976,3000,79000,3000,1355,390,255,340,190,80,215,180,770,2230,0,3000,1580,1420
6242,2275,97000,2275,900,780,230,120,55,65,55,70,2215,70,0,2275,2050,225
4539,2550,45600,2550,675,680,390,415,140,60,40,150,680,1915,0,2550,1075,1475
1428,870,54800,870,320,90,95,130,70,125,40,0,10,845,15,870,320,550
4069,1830,67000,1830,190,1165,105,55,15,215,75,20,1270,550,10,1830,1390,440
19,,,,,,,,,,,,0,0,0,,,
1807,865,61200,865,340,160,105,85,30,45,60,45,745,120,0,865,695,175
6884,2790,74000,2790,365,1180,230,120,245,425,110,120,2075,715,0,2790,2290,500
1422,620,46000,620,470,110,20,10,0,0,0,0,300,345,0,620,265,355
3998,1830,63200,1830,395,975,175,110,20,40,20,90,1145,670,15,1830,855,985
4544,1975,72000,1975,205,635,335,350,200,120,55,70,1615,360,0,1975,1555,420
2455,820,78500,820,80,540,85,75,15,0,0,10,655,170,0,820,480,335
9387,3605,77000,3605,90,910,435,290,770,785,245,80,2590,1015,0,3605,2415,1185
7091,2640,53200,2640,270,1360,235,220,100,205,195,60,25,2610,5,2640,970,1670
6074,2375,78500,2375,65,1195,855,200,35,0,15,10,1565,775,35,2375,1580,790
3726,1160,118000,1160,15,20,100,540,280,65,125,15,1030,130,0,1160,1040,125
3166,1355,68000,1355,320,650,190,85,50,10,10,35,1025,335,0,1355,900,455
5515,3085,34800,3085,705,1245,325,195,40,15,30,530,285,2835,0,3085,520,2565
6591,3470,43200,3470,585,1020,315,215,65,330,380,560,835,2635,0,3470,920,2555
48,30,,30,0,20,0,0,0,0,0,0,5,0,25,30,20,10
3338,1225,91000,1225,15,655,500,40,10,0,10,0,1025,195,5,1225,1155,75
6517,2985,39200,2985,1010,950,365,365,105,75,40,70,25,2955,5,2985,190,2805
3596,1125,110000,1125,0,0,0,0,35,280,740,60,1135,5,0,1125,980,145
2550,805,101000,805,0,20,0,165,280,165,75,85,635,175,0,805,670,140
3706,1625,78500,1625,60,645,340,230,30,85,155,95,1155,450,20,1625,1130,500
3428,1175,103000,1175,25,935,150,60,0,0,0,0,1145,30,0,1175,1030,145
6722,2915,80000,2915,1470,370,180,120,120,335,265,55,1440,1510,0,2915,1520,1395
4372,2040,57600,2040,835,510,280,245,60,55,30,30,1095,950,0,2040,820,1225
3842,1630,76500,1630,345,385,205,145,70,240,130,115,1280,350,0,1630,1380,250
5388,2315,74500,2315,790,770,225,265,80,75,40,70,1250,1050,15,2315,1460,855
4476,1435,160000,1435,250,745,230,65,20,50,50,30,1420,15,0,1435,1390,45
38,,,,,,,,,,,,0,0,0,,,
5197,1880,83000,1880,305,570,240,290,45,75,115,245,930,955,0,1880,925,955
6331,2205,91000,2205,265,935,320,185,90,75,110,215,1580,230,395,2205,1665,535
6799,4210,58000,4210,790,1670,800,495,145,110,180,20,15,4245,0,4210,880,3330
3995,2045,87000,2045,820,730,95,55,0,50,65,240,410,1610,25,2045,725,1320
4533,1240,91000,1240,10,65,70,740,265,45,30,15,1070,145,25,1240,965,270
1253,530,71500,530,100,175,100,65,25,25,35,0,515,5,10,530,495,30
3327,1260,86000,1260,225,460,165,170,30,50,130,35,990,200,70,1260,1055,205
6269,2315,94000,2315,30,480,240,450,545,435,110,20,2025,190,100,2315,1710,605
89,30,,30,0,10,10,10,10,0,0,0,30,0,0,30,0,0
4815,1965,76500,1965,90,1350,355,110,15,35,0,0,1700,255,10,1965,1620,340
3031,1065,83000,1065,105,370,230,145,60,45,45,70,985,85,0,1065,985,80
1760,830,101000,830,315,260,95,55,40,15,15,40,460,370,0,830,550,280
6231,2050,94000,2050,530,755,225,155,120,85,110,80,1780,270,0,2050,1690,360
5772,2080,88000,2080,80,1220,210,125,60,50,200,140,1855,200,25,2080,1885,195
6409,2735,84000,2735,1855,335,195,100,35,35,35,145,1465,1265,5,2735,1695,1045
3838,1410,90000,1410,20,175,60,115,545,415,65,15,1350,100,0,1410,1175,235
4331,1310,111000,1310,95,175,125,125,155,215,195,225,1185,110,15,1310,1145,165
2616,980,91000,980,40,155,275,225,65,130,50,45,970,60,0,980,880,100
2029,1110,68000,1110,415,330,115,65,60,80,15,35,215,920,0,1110,315,795
5388,1955,108000,1955,830,895,120,60,0,10,15,30,1805,145,5,1955,1805,150
3908,1175,96000,1175,85,620,220,95,65,15,15,60,875,270,30,1175,910,265
5094,2145,87000,2145,75,1600,270,90,15,50,15,30,1790,365,0,2145,1610,535
6210,2125,91000,2125,70,1475,370,130,35,35,10,0,1510,610,5,2125,1735,395
4946,1830,80000,1830,230,1340,165,55,10,0,15,0,1110,720,0,1830,1020,810
10353,2640,119000,2640,50,20,15,60,225,1710,320,235,2615,25,0,2640,2315,325
5106,2470,73500,2470,810,555,235,105,65,90,165,450,655,1825,0,2470,1395,1080
6245,2585,71000,2585,460,855,390,245,240,135,85,190,2165,245,175,2585,2260,325
1773,780,71500,780,255,430,45,30,10,0,0,0,675,100,5,780,615,165
2542,1390,37600,1390,580,365,180,60,105,45,30,35,65,1375,0,1390,205,1185
4887,1820,92000,1820,75,470,800,295,35,10,15,120,1545,290,0,1820,1400,420
1790,945,53200,945,10,80,155,340,110,50,75,115,510,40,395,945,820,65
4437,2465,50800,2465,495,1015,335,175,125,85,70,160,465,2080,0,2465,565,1900
3272,1405,56400,1405,705,390,100,110,65,35,0,0,1135,280,0,1405,770,630
7443,3075,61600,3075,600,1555,235,205,195,170,100,20,690,2385,0,3075,1075,2000
3456,1125,72000,1125,55,815,115,70,45,0,10,10,1030,100,0,1125,550,570
2339,915,49600,915,150,440,170,120,20,10,0,10,0,920,0,915,20,900
3724,1695,58400,1695,35,370,1030,235,20,10,0,0,40,1655,0,1695,985,710
1858,910,57200,910,690,150,15,10,0,15,10,10,10,940,0,910,270,645
4992,2290,76500,2290,250,1040,375,265,70,60,135,100,680,1680,0,2290,1270,1020
1988,1030,53600,1030,105,215,215,95,25,150,85,150,145,910,0,1030,400,630
3142,1725,55200,1725,585,705,155,95,60,60,25,35,335,1410,0,1725,680,1040
8406,2720,93000,2720,25,575,510,130,150,200,535,600,2630,95,0,2720,2065,655
7968,3305,74000,3305,385,620,380,250,190,290,475,715,2595,660,50,3305,2580,730
2104,1160,36400,1160,545,310,95,115,30,30,30,10,205,965,0,1160,355,805
1444,735,56000,735,240,65,70,90,30,40,120,70,0,800,0,735,255,475
4624,1940,52000,1940,460,1125,195,115,25,10,10,10,610,1345,0,1940,430,1510
1249,550,71000,550,70,210,90,100,15,25,15,15,490,5,55,550,495,50
5735,2450,55600,2450,535,715,465,470,180,30,25,30,580,1875,0,2450,1135,1320
3090,1630,47600,1630,555,655,120,105,10,35,40,105,705,905,20,1630,595,1035
5685,3425,58000,3425,485,935,465,325,165,205,530,315,170,3225,30,3425,1100,2320
5529,3195,76500,3195,760,1570,355,290,80,45,20,70,335,2865,0,3195,1035,2160
2699,1290,57600,1290,955,245,35,35,10,0,0,10,1095,210,0,1290,905,385
7563,3390,68500,3390,120,795,525,305,410,420,500,310,2225,1160,5,3390,2155,1235
3926,1975,89000,1975,0,15,0,40,300,1200,400,15,160,1810,5,1975,1395,580
3904,1635,58800,1635,780,595,50,85,35,40,25,20,450,1180,5,1635,745,890
6275,2260,61600,2260,295,920,160,175,45,50,135,470,180,2090,0,2260,305,1960
2962,1160,79000,1160,120,795,105,25,30,70,0,0,1015,160,0,1160,760,395
5935,2625,69500,2625,385,1455,360,125,30,25,105,145,720,1910,0,2625,740,1885
5794,2065,99000,2065,375,345,180,265,335,100,250,210,1720,340,5,2065,1710,345
1820,620,103000,620,210,160,75,85,35,10,15,30,620,5,0,620,575,45
4579,2330,47600,2330,1075,675,180,130,90,95,65,15,260,2035,35,2330,675,1650
1561,750,66000,750,580,95,20,15,0,25,0,15,10,750,0,750,240,510
4835,2815,64500,2815,715,670,230,155,205,185,375,275,610,2210,0,2815,865,1955
8349,2950,90000,2950,420,510,195,350,515,240,380,345,2775,185,0,2950,2425,525
1350,775,62400,775,345,10,15,0,30,140,125,100,65,705,5,775,370,405
5012,2370,49200,2370,975,620,390,185,95,50,50,20,550,1825,0,2370,700,1675
4130,1675,67000,1675,215,1050,205,65,75,40,15,20,470,1230,0,1675,980,690
140,55,,55,40,10,0,0,0,0,0,0,60,10,0,55,50,10
3028,1545,48000,1545,875,335,100,65,30,20,30,90,0,1575,0,1545,270,1275
3689,1515,87000,1515,605,815,30,35,10,0,10,0,1325,135,55,1515,1210,300
4865,1815,78000,1815,815,570,145,145,65,35,20,20,1020,775,20,1815,1230,585
1019,285,87000,285,0,25,0,70,0,0,60,130,165,135,0,285,250,35
6142,2380,82000,2380,560,620,355,240,180,205,120,95,2285,85,10,2380,2090,290
7525,2985,80000,2985,615,935,420,315,135,170,235,165,1400,1585,0,2985,1920,1065
7420,2610,97000,2610,915,605,225,240,105,115,240,165,1805,805,0,2610,1880,730
3050,1175,73000,1175,200,720,200,45,0,0,0,0,1110,100,0,1175,955,215
5182,1800,81000,1800,145,630,285,185,75,230,135,125,1715,115,0,1800,1495,305
6486,2335,106000,2335,100,365,395,385,395,375,190,135,2075,265,0,2335,2135,200
7377,2600,95000,2600,1125,625,125,435,165,40,40,50,2545,65,0,2600,2350,250
5799,2345,84000,2345,130,440,420,115,65,540,460,175,1655,680,10,2345,1915,425
5464,1610,82000,1610,785,630,70,60,35,0,10,10,975,660,0,1610,1015,595
1838,800,55600,800,305,360,50,30,20,20,10,15,450,255,95,800,535,265
4754,2230,60000,2230,545,560,270,240,180,165,95,165,1370,840,20,2230,1270,960
4744,1900,79500,1900,65,455,550,350,175,135,30,145,1530,375,0,1900,1495,410
6115,2470,69500,2470,205,480,685,665,190,115,80,50,2055,395,20,2470,1895,575
3830,1425,120000,1425,0,40,420,935,0,10,0,0,1435,5,0,1425,1375,50
3967,1385,117000,1385,100,260,85,395,285,215,35,0,1370,25,0,1385,1345,35
4476,1890,51600,1890,445,710,455,150,70,15,15,25,1155,750,0,1890,1130,760
4111,1545,76500,1545,250,520,545,105,45,20,45,15,1050,485,10,1545,1185,365
6728,2820,53200,2820,415,1435,400,365,110,45,25,25,130,2690,0,2820,795,2030
6782,3470,70500,3470,1180,1085,270,160,95,105,130,450,995,2440,35,3470,1125,2345
3552,1500,99000,1500,1200,140,70,60,10,0,20,0,725,740,35,1500,995,505
2533,950,87000,950,360,475,95,20,0,0,0,0,770,155,25,950,670,280
894,435,46400,435,285,75,0,0,20,25,15,0,160,290,0,435,210,225
6439,2830,58400,2830,990,655,90,135,230,625,50,55,595,2235,0,2830,1385,1445
8572,3740,74000,3740,945,1370,310,350,70,85,310,300,1305,2430,5,3740,2530,1210
3738,1270,99000,1270,275,410,405,85,25,25,10,25,1005,295,0,1270,985,285
1680,765,62800,765,355,365,15,10,15,0,0,0,525,260,0,765,420,345
3134,1235,80000,1235,460,525,160,55,15,10,0,0,1080,180,0,1235,935,295
3674,865,103000,865,0,0,25,120,465,175,45,35,780,110,0,865,685,180
4165,1570,63200,1570,545,770,70,105,35,20,15,10,985,665,0,1570,605,960
2576,1070,61600,1070,545,305,55,45,45,0,0,60,405,585,80,1070,415,655
6513,2330,79500,2330,160,1380,265,190,90,130,85,35,1390,930,10,2330,1450,880
925,360,65500,360,70,125,40,40,15,20,35,20,340,15,5,360,295,60
4779,1770,108000,1770,30,430,1055,150,25,20,60,0,1495,290,0,1770,1595,180
2907,1235,77500,1235,170,425,225,190,60,50,85,40,1090,160,0,1235,1040,195
6484,2940,72500,2940,180,1365,715,260,85,100,110,125,1860,1075,5,2940,2295,640
11218,5090,66500,5090,110,705,525,1700,500,615,330,600,3170,1265,655,5090,4165,925
5940,1535,84000,1535,30,180,390,445,230,100,100,65,345,1195,0,1535,885,655
1437,580,62000,580,130,145,120,160,15,0,0,0,495,80,5,580,345,235
4891,2140,54400,2140,735,1040,190,85,30,45,20,0,185,1965,0,2140,770,1370
5269,1885,87000,1885,165,675,290,85,125,375,85,80,1715,150,20,1885,1365,525
4467,2310,67500,2310,875,665,280,250,55,55,70,65,400,1920,0,2310,815,1485
8659,2765,126000,2765,275,570,315,100,15,80,845,565,2510,245,10,2765,2470,300
4767,1940,66500,1940,155,950,265,405,50,80,35,0,1130,815,0,1940,1130,810
7000,2925,84000,2925,945,965,450,365,85,70,20,10,2370,565,0,2925,2365,560
5152,1750,70500,1750,350,540,325,295,125,95,0,15,260,1485,5,1750,480,1275
4095,1510,88000,1510,0,0,0,35,485,225,475,275,875,655,0,1510,1240,270
5001,1680,58400,1680,410,930,200,85,30,15,10,10,460,1240,0,1680,520,1165
3748,1525,79000,1525,125,355,150,250,105,180,250,115,1050,460,15,1525,1145,380
5078,1655,140000,1655,85,200,320,305,315,225,125,75,1645,10,0,1655,1580,75
2529,930,98000,930,10,0,10,20,0,180,510,200,800,105,25,930,735,200
6318,2405,58000,2405,420,1430,185,155,85,70,40,15,1210,1190,5,2405,845,1555
1823,1135,27000,1135,155,670,165,95,20,20,10,0,140,980,15,1135,100,1035
8960,3230,83000,3230,20,155,315,650,430,770,665,225,2790,435,5,3230,2705,525
3764,1365,70000,1365,70,740,430,60,10,20,20,20,900,440,25,1365,885,485
4243,1525,58400,1525,490,600,180,165,40,30,15,0,0,1520,5,1525,160,1365
6313,1915,94000,1915,75,765,905,145,20,10,0,0,1915,0,0,1915,1860,55
5575,2050,70500,2050,105,1585,160,105,40,15,10,20,1335,710,5,2050,1120,925
3784,2300,71000,2300,645,1050,320,210,35,30,15,0,135,2125,40,2300,880,1420
2379,1135,57200,1135,630,350,40,30,40,0,10,35,865,260,10,1135,835,300
4927,1555,111000,1555,0,20,10,145,940,350,90,10,1510,20,25,1555,1400,155
2903,1175,85000,1175,195,680,195,80,0,15,0,0,1130,35,10,1175,1035,145
3396,1170,106000,1170,0,285,320,445,35,65,0,10,1110,95,0,1170,960,205
4641,1800,77500,1800,145,945,370,255,30,20,0,35,1210,555,35,1800,1020,780
6031,2070,109000,2070,235,155,120,295,470,485,250,50,1950,115,5,2070,1900,175
5388,2390,60800,2390,330,895,320,290,35,150,125,255,740,1670,0,2390,940,1460
5526,2270,62400,2270,305,970,535,320,55,45,15,20,655,1585,30,2270,995,1275
4589,2140,51600,2140,1035,630,235,105,45,40,40,10,230,1925,0,2140,740,1400
4940,1660,99000,1660,35,50,155,460,385,390,150,30,1625,40,0,1660,1420,250
6481,3045,70000,3045,330,1415,480,455,80,55,90,130,1460,1580,5,3045,2060,985
2722,1020,69000,1020,45,815,60,60,15,0,10,0,800,115,105,1020,665,355
3207,1135,101000,1135,310,300,10,345,150,10,10,0,1095,10,30,1135,1090,40
208,130,,130,0,0,15,45,30,35,0,0,25,95,10,130,10,110
2080,910,70500,910,630,175,30,40,0,15,0,10,180,715,15,910,425,485
203,70,,70,10,35,10,0,0,0,0,0,55,0,15,70,60,10
3822,1110,115000,1110,0,0,15,30,70,295,435,255,1025,90,0,1110,985,125
3680,1385,96000,1385,190,360,505,150,35,30,50,65,1070,335,0,1385,1090,295
1274,635,46400,635,385,110,35,25,20,15,30,20,85,575,0,635,160,470
6826,2525,81000,2525,145,530,300,285,155,520,275,315,1915,470,140,2525,1990,535
4870,2815,62800,2815,170,1325,245,300,215,75,125,350,25,2845,0,2815,275,2540
4306,1895,58000,1895,375,1085,170,160,30,0,30,40,1145,710,40,1895,900,995
3810,1325,80000,1325,10,50,100,560,180,245,90,90,870,355,100,1325,1175,145
4214,2110,36800,2110,605,880,250,120,15,40,135,65,85,2015,10,2110,305,1805
3998,1345,100000,1345,210,450,505,110,10,15,15,35,1275,105,0,1345,1185,160
3425,1575,77000,1575,1265,190,30,70,15,0,0,0,35,1525,15,1575,780,795
981,205,68000,205,0,45,30,45,30,35,0,15,190,0,15,205,10,0
2880,1330,72500,1330,75,210,100,155,65,200,215,320,900,375,55,1330,905,425
4984,2140,74500,2140,0,175,410,820,410,160,155,20,1205,955,0,2140,1605,535
5882,2295,72500,2295,65,635,515,405,255,225,130,65,1840,335,120,2295,1805,495
1896,535,103000,535,0,35,200,105,145,30,10,0,520,30,0,535,490,45
5792,2475,86000,2475,260,755,180,405,105,215,190,360,920,1560,0,2475,1540,940
7161,2840,94000,2840,100,900,350,405,265,245,285,295,2155,670,15,2840,2325,510
4892,1780,73000,1780,75,1145,205,195,125,10,25,15,1500,280,0,1780,1235,540
4859,2370,69000,2370,435,835,350,225,105,110,225,90,1095,1265,10,2370,1185,1180
3866,1805,50800,1805,260,1090,210,115,40,25,25,40,610,1200,0,1805,640,1170
3722,1810,50800,1810,930,510,125,65,90,35,25,35,1015,785,10,1810,935,875
5790,2920,61200,2920,715,1150,220,135,65,65,160,420,630,2255,35,2920,950,1965
7845,2375,117000,2375,0,25,15,65,770,720,395,385,1555,830,0,2375,2075,295
4808,1385,86000,1385,25,395,810,125,20,0,0,0,1240,150,0,1385,1280,100
461,230,61200,230,65,40,45,25,10,10,15,15,225,0,5,230,205,25
4164,2255,65500,2255,205,975,540,85,15,20,375,40,250,2000,5,2255,1225,1025
5369,2450,62800,2450,220,1250,885,70,15,0,10,0,435,2025,0,2450,920,1525
5648,1625,109000,1625,25,55,300,1035,105,40,35,25,1525,85,15,1625,1495,120
6915,2705,71000,2705,205,1840,265,220,155,20,0,0,1240,1445,20,2705,1285,1425
3162,1420,57600,1420,905,360,75,45,30,0,0,0,1115,310,0,1420,940,485
2453,1110,57600,1110,835,170,50,45,0,0,0,0,35,1055,20,1110,350,760
4022,1645,59600,1645,220,1170,185,45,0,0,10,0,130,1460,55,1645,460,1185
1619,595,91000,595,240,165,60,45,20,25,25,20,570,15,10,595,575,15
648,260,48000,260,30,60,55,65,10,0,20,15,245,15,0,260,105,25
2629,1115,59200,1115,10,275,200,185,0,120,10,315,290,830,0,1115,445,670
2741,1090,72000,1090,245,275,115,150,45,85,115,60,910,150,30,1090,840,250
5090,3080,44000,3080,945,1155,300,210,75,70,105,230,75,3020,0,3080,355,2730
4043,1570,84000,1570,15,220,725,380,175,35,15,10,870,690,10,1570,1355,215
5482,2150,77000,2150,10,155,635,835,380,110,15,15,1240,910,0,2150,1360,790
5823,2660,73500,2660,1445,285,90,200,170,260,80,130,590,2045,25,2660,1415,1245
3879,1465,76000,1465,395,535,185,155,55,25,80,40,935,510,20,1465,860,610
1618,620,125000,620,130,470,0,0,0,0,0,15,615,5,0,620,590,25
3913,1195,121000,1195,30,60,10,180,165,525,205,25,1070,130,0,1195,1160,35
4410,1625,60800,1625,770,590,120,85,20,15,0,15,1115,505,5,1625,460,1160
3640,1420,78000,1420,460,780,65,25,10,0,20,60,1095,335,0,1420,1090,325
8295,2840,90000,2840,270,690,360,370,200,290,340,315,2525,250,65,2840,2475,365
6728,3155,83000,3155,615,330,80,110,185,555,415,865,1295,1890,0,3155,2370,785
7309,3235,52400,3235,15,15,15,75,100,580,890,1540,75,3155,5,3235,1160,2065
6002,1915,106000,1915,350,1010,180,70,30,60,80,145,1375,590,0,1915,1465,450
3206,1205,85000,1205,160,200,110,165,95,155,275,55,1155,50,0,1205,1115,90
1314,750,40000,750,360,195,115,45,0,0,0,20,120,690,0,750,195,550
2102,980,54800,980,555,205,20,125,25,10,30,20,705,305,0,980,625,360
3070,1370,66500,1370,875,360,75,45,0,0,0,15,885,490,0,1370,915,460
3634,1805,52800,1805,895,355,155,100,35,95,90,85,380,1445,0,1805,645,1155
